rowid,kepid,tce_planet_num,tce_period,tce_time0bk,tce_duration,campaign,tce_depth,tce_impact,av_training_set
157,201576812,2,2.864263831,1978.734165,3.302473652,1,0.250414239,-0.970107546, C
158,201578061,2,21.56142208,1995.955513,0.678366479,1,0.106484902,0.684822477, C
159,201584255,2,7.840208402,1978.569663,0.509082858,1,0.082226291,0.774005933, C
160,201591545,2,0.245060116,1977.332381,0.141154627,1,0.040056948,0.01, C
161,201595644,2,30.21691332,2007.434432,1.141803976,1,0.076885591,0.412968694, C
162,201597999,2,1.961518445,1978.863787,9.101672195,1,0.018933937,-0.931459135, C
163,201598493,2,22.2915976,1994.743141,1.18830293,1,0.124377191,0.165071687, C
164,201599645,2,23.5268508,1978.539332,2.051616948,1,0.044758758,-0.442001277, C
165,201607357,2,28.92051047,2004.521364,1.148884587,1,0.157579468,-0.000500003, C
166,201609326,2,0.13279821,1977.332898,0.076491769,1,0.033514194,0.01, C
167,201609326,3,0.10220708,1977.343258,0.058871278,1,0.021092553,0.01, C
168,201609326,4,0.163481817,1977.303385,0.094165526,1,0.018872367,0.01, C
169,201616786,2,22.41928966,1994.248356,1.365497413,1,0.099360136,0.60645093, C
170,201618339,2,31.10694418,2002.070748,2.125342619,1,0.093166668,0.476626094, C
171,201620616,2,14.4781739,1986.629188,1.626917703,1,0.03340762,-0.007379349, C
172,201621084,2,21.32025245,1996.449363,1.646949983,1,0.097673718,0.030387797, C
173,201621084,3,35.35679247,1990.22197,2.714990868,1,0.084406163,0.867269354, C
174,201622736,2,0.10219498,1977.328797,0.058864308,1,0.025080797,0.01, C
175,201622736,3,0.10219498,1977.287919,0.058864308,1,0.0247893,0.01, C
176,201622736,4,0.10219498,1977.308358,0.058864308,1,0.022819372,0.01, C
177,201622736,5,0.10219498,1977.26748,0.058864308,1,0.022676748,0.01, C
178,201623772,2,1.958458162,1978.922149,5.122567371,1,0.022705696,0.587130719, C
179,201626704,2,25.45224597,1988.368443,1.277425716,1,0.03416793,0.626268063, C
180,201628058,2,0.24521555,1977.269517,0.141244157,1,0.020308891,0.01, C
181,201630520,2,35.03375052,1990.560755,1.995606746,1,0.093036183,0.5753646, C
182,201635132,2,34.69020051,1981.522169,2.566927682,1,0.134516365,0.929246835, C
183,201637256,2,0.245060116,1977.332337,0.141154627,1,0.037346403,0.01, C
184,201637354,2,1.693769918,1978.82857,9.624095874,1,0.493770657,-0.910640185, C
185,201648133,2,35.02887661,1997.847534,8.601165655,1,0.420309603,-0.491484865, C
186,201648133,3,35.53410548,1997.334959,20.06984665,1,0.034902127,0.848681925, C
187,201648133,4,17.43448337,1980.839168,5.97887174,1,0.023359125,-0.791479389, C
188,201649211,2,0.199736876,1977.327518,0.25,1,0.280413258,0.858167473, C
189,201651577,2,22.51093252,1994.722643,1.593720747,1,0.053670638,0.044368713, C
190,201651599,2,0.245215461,1977.273772,0.141244105,1,0.099186938,0.01, C
191,201651599,3,0.245215308,1977.495096,0.332331679,1,0.09407556,0.163368595, C
192,201651599,4,27.76284061,1997.882363,1.999392883,1,0.190955316,0.00334977, C
193,201651599,5,0.245061377,1977.274539,0.25,1,0.096894484,0.685717886, C
194,201651599,6,7.824413917,1981.030882,1.664401541,1,0.116651943,0.182295993, C
195,201651599,7,0.244827224,1977.292934,0.469828281,1,0.057888005,0.064329172, C
196,201651599,8,10.33704744,1984.594429,0.250280924,1,0.325000602,-0.423109532, C
197,201651599,9,19.80854779,1985.890897,1.472753184,1,0.146004904,-0.000532058, C
198,201651599,10,1.227909147,1978.22486,1.525251321,1,0.285523931,1.166909116, C
199,201651599,11,18.09608983,1981.52308,2.017529193,1,0.123046974,0.183307782, C
200,201655870,2,0.102086119,1977.320919,0.058801605,1,0.080786742,0.01, C
201,201655870,3,0.102316104,1977.306726,0.058934076,1,0.070595031,0.01, C
202,201655870,4,0.102231294,1977.347582,0.058885225,1,0.077502693,0.01, C
203,201655870,5,0.102013633,1977.318837,0.058759852,1,0.060785663,0.01, C
204,201656890,2,30.40732706,2003.05617,1.955833732,1,0.157650895,-0.988908204, C
205,201656890,3,22.05519647,1994.976566,1.469624204,1,0.056219962,0.391391266, C
206,201659103,2,7.846687511,1978.498157,2.418588646,1,0.113608168,1.026997305, C
207,201664662,2,0.12263976,1977.330328,0.070640502,1,0.018376106,0.01, C
208,201664662,3,0.102122389,1977.35785,0.058822496,1,0.01706095,0.01, C
209,201664662,4,0.163526952,1977.287405,0.094191525,1,0.021135775,0.01, C
210,201664662,5,23.95601374,1988.52344,4.943605414,1,0.023922121,-0.01036429, C
211,201664662,6,24.41831233,1987.578846,3.594836016,1,0.027673248,0.344342931, C
212,201665500,2,1.526859902,1977.53432,4.194318397,1,0.054144701,0.903067933, C
213,201665952,2,30.84650239,2002.58962,1.504563092,1,0.031902129,0.761667702, C
214,201667079,2,26.88668154,1989.260467,7.465816916,1,0.089834488,-0.977132519, C
215,201667079,3,34.69084976,1981.525916,3.080958285,1,0.168109014,1.097808506, C
216,201667940,2,0.102194972,1977.263702,0.058864304,1,0.02853002,0.01, C
217,201667940,3,0.102194972,1977.304574,0.058864304,1,0.027257116,0.01, C
218,201667940,4,0.102194972,1977.284135,0.058864304,1,0.026826524,0.01, C
